title,body,labels,assignees,milestone,priority,size
"[EPIC] Security & Stability Hardening","Comprehensive security and stability improvements across the entire application. Goals: Complete error handling, security audit, performance optimization.","type: feature,priority: critical,module: core,size: xl",,"Core Stability & Security",1,XL
"[EPIC] Enhanced Purchase Invoice Lifecycle Management","Complete lifecycle management for purchase invoices including OCR, payment tracking, and tax reconciliation. Database 100%, Backend 100%, Frontend 0%.","type: feature,priority: high,module: purchases,size: xl",,"Enhanced Invoice Lifecycle",2,XL
"[EPIC] GST Compliance & Tax Reporting System","Complete GST compliance system with GSTR-1, GSTR-3B, ITC management, and filing capabilities. Backend complete, frontend partial.","type: feature,priority: critical,module: gst,size: xl",,"GST Compliance Complete",1,XL
"[EPIC] HR Management & Performance Tracking","Comprehensive HR system with shift scheduling, attendance, leave management, and performance scoring. Database and backend complete.","type: feature,priority: high,module: hr,size: xl",,"HR Management System",2,XL
"[EPIC] AI-Powered Sales Intelligence & Automation","AI-powered features for sales assistance, product recommendations, and intelligent automation using Anthropic Claude.","type: feature,priority: medium,module: ai,module: sales,size: l",,"AI & Automation",3,L
"[EPIC] Multi-Tenant Store & Business Architecture","Enable multiple businesses with complete data isolation and role-based access across stores.","type: feature,priority: medium,module: core,size: xl",,"Multi-Tenant Architecture",3,XL
"Apply Phase 4 Error Handling Pattern to All Services","Apply comprehensive error handling pattern to all 16 backend services (~124 methods). Priority services: sale, purchase-invoice, customer, product, stock.","type: enhancement,priority: high,module: core,component: backend,size: l",,"Core Stability & Security",2,L
"Invoice Document Upload with OCR Integration","Enable users to upload invoice PDF/image documents with automatic OCR data extraction. Support PDF, JPG, PNG. >85% accuracy target.","type: feature,priority: high,module: purchases,component: backend,component: frontend,size: l",,"Enhanced Invoice Lifecycle",2,L
"Payment Tracking & Reconciliation User Interface","Build frontend UI for tracking multiple payments against purchase invoices. Features: payment form, history timeline, status updates, alerts.","type: feature,priority: high,module: purchases,component: frontend,size: m",,"Enhanced Invoice Lifecycle",2,M
"GSTR-1 Report Generation Frontend Interface","Build UI for generating GSTR-1 reports (B2B, B2C Large, B2C Small, HSN Summary). Export to Excel and JSON. Backend API complete.","type: feature,priority: critical,module: gst,module: reports,component: frontend,size: m",,"GST Compliance Complete",1,M
"GSTR-3B Report Frontend Interface","Build UI for monthly GSTR-3B return generation with auto-calculation and export functionality.","type: feature,priority: critical,module: gst,component: frontend,size: m",,"GST Compliance Complete",1,M
"ITC Dashboard & Tracking Interface","Build dashboard for Input Tax Credit tracking with 180-day rule monitoring and payment risk alerts.","type: feature,priority: high,module: gst,component: frontend,size: m",,"GST Compliance Complete",2,M
